Unnamed: 0,Actual frequency,FCR Requested,System imbalance,Net regulation volume,GUV,IGCC+,aFRR+,GDV,IGCC-,aFRR-,Total,Alpha,Marginal incremental price,Marginal decremental price,Positive imbalance price,Negative imbalance price,Measured & Upscaled,Monitored capacity,Load factor,Total Load,wp_Measured & Upscaled,wp_Monitored capacity,wp_Load factor,weath_air_temperature,weath_precipitation,weath_wind_speed,weath_wind_direction
2023-05-07 21:45:00,50.012,-5.28,-152.097,140.36,140.36,135.757,4.603,0.0,0.0,0.0,8266.7,0.79,141.5,50.7,142.29,142.29,0.0,22286.424,0.0,7994.16,33.53,5211.99,0.03,13.545,0.0,1.57,304.25
2023-05-07 21:30:00,50.019,-8.36,61.252,-164.432,0.63,0.63,0.0,165.062,38.12,126.942,8266.7,0.0,141.5,-359.17,-359.17,-359.17,0.0,22286.424,0.0,7914.45,29.33,5211.990000000001,0.02,13.5675,0.0,1.4075,148.35
2023-05-07 21:15:00,49.979,9.24,-383.707,295.043,295.043,64.35,108.593,0.0,0.0,0.0,8266.7,11.85,230.03,50.7,241.89,241.89,0.0,22286.424,0.0,8096.3,27.18,5211.99,0.02,13.53,0.0,1.795,148.65
2023-05-07 21:00:00,49.999,0.44,151.16,-149.294,0.0,0.0,0.0,149.294,123.344,25.95,8266.7,0.8,141.5,46.85,46.05,46.05,0.0,22286.424,0.0,8187.23,27.62,5211.99,0.02,13.4775,0.0,1.85,236.95
2023-05-07 20:45:00,50.028,-12.32,8.05,-2.151,75.0,0.0,0.0,77.151,72.559,4.592,8266.7,0.0,227.82,49.87,49.87,49.87,0.0,22286.424,0.0,8201.35,30.88,5211.99,0.03,13.48,0.0,1.905,154.70000000000002
2023-05-07 20:30:00,50.021,-9.24,-257.027,280.089,280.089,49.592,88.397,0.0,0.0,0.0,8266.7,5.23,227.82,50.7,233.05,233.05,0.0,22286.424,0.0,8272.55,26.65,5211.99,0.02,13.56,0.0,1.8975,158.35
2023-05-07 20:15:00,49.983,7.48,11.488,-56.785,7.375,7.375,0.0,64.16,57.435,6.725,8266.7,0.0,141.5,46.74,46.74,46.74,0.0,22286.424,0.0,8426.01,25.07,5211.99,0.02,13.525,0.0,1.58,175.6
2023-05-07 20:00:00,49.991,3.96,-26.632,28.616,182.1,0.0,0.0,153.484,142.387,11.097,8266.7,0.0,225.64,46.98,225.64,225.64,0.0,22286.424,0.0,8281.92,25.58,5211.99,0.02,13.6175,0.0,1.32,100.525
2023-05-07 19:45:00,50.004,-1.76,-245.192,202.505,206.407,104.487,1.92,3.902,0.0,3.902,8266.7,6.18,222.04,50.7,228.22,228.22,0.0,22286.424,0.0,8450.93,28.21,5211.99,0.03,13.785,0.0,1.49,22.85
2023-05-07 19:30:00,50.0,0.0,-267.23,208.655,208.655,87.545,29.01,0.0,0.0,0.0,8266.7,5.19,225.64,50.7,230.83,230.83,0.0,22286.424,0.0,8554.34,31.28,5211.99,0.03,13.815,0.0,1.49,113.65
2023-05-07 19:15:00,50.005,-2.2,-280.431,240.137,240.137,69.817,28.22,0.0,0.0,0.0,8266.7,7.95,225.64,50.7,233.59,233.59,0.006,22286.424,0.0,8518.7,35.33,5211.99,0.04,13.905,0.0,1.835,212.7
2023-05-07 19:00:00,49.996,1.76,-344.223,196.704,203.252,110.885,0.267,6.548,0.0,6.548,8266.7,11.2,225.64,45.81,236.84,236.84,27.603,22286.424,1.332,8520.96,33.22,5211.99,0.03,14.13,0.0,1.885,190.75
2023-05-07 18:45:00,49.996,1.76,-196.79,160.001,160.001,119.254,40.747,0.0,0.0,0.0,8266.7,1.01,145.22,50.7,146.23,146.23,130.259,22286.424,6.24,8428.07,41.09,5211.99,0.05,14.25,0.0,1.995,180.25
2023-05-07 18:30:00,49.976,10.56,-42.168,30.408,30.412,17.412,13.0,0.004,0.0,0.004,8266.7,0.0,141.5,50.7,141.5,141.5,303.807,22286.424,14.976,8312.67,46.92,5211.99,0.05,14.335,0.0,1.785,178.3
2023-05-07 18:15:00,50.024,-10.56,-46.331,53.247,53.254,40.444,12.81,0.007,0.0,0.007,8266.7,0.0,141.5,50.7,141.5,141.5,512.63,22286.424,26.169,8442.7,57.29,5211.99,0.06,14.435,0.0,1.875,179.79999999999998
2023-05-07 18:00:00,50.03,-13.2,31.987,-99.509,45.649,3.303,0.246,145.158,136.449,8.709,8266.7,0.0,219.0,45.7,45.7,45.7,727.438,22286.424,38.419,8398.1,59.93,5211.99,0.07,14.45,0.0,2.1975,177.45000000000002
2023-05-07 17:45:00,49.987,5.72,-159.277,156.044,160.245,15.391,7.254,4.201,4.201,0.0,8266.7,1.94,225.64,45.7,227.58,227.58,936.996,22286.424,50.875,8434.08,63.63,5211.99,0.08,14.455,0.0,2.495,176.0
2023-05-07 17:30:00,50.001,-0.44,-41.278,-7.577,20.104,20.017,0.087,27.682,22.931,4.751,8266.7,0.0,136.5,45.7,136.5,136.5,1175.129,22286.424000000003,65.687,8527.02,54.39,5211.990000000001,0.07,14.4925,0.0,2.4375,256.45
2023-05-07 17:15:00,49.996,1.76,-36.323,-0.253,15.944,15.917,0.027,16.197,13.953,2.244,8266.7,0.0,141.5,45.7,141.5,141.5,1461.561,22286.424,83.382,8605.03,38.27,5211.990000000001,0.04,14.63,0.0,3.09,343.35
2023-05-07 17:00:00,50.037,-16.28,-99.886,151.994,151.994,74.206,40.188,0.0,0.0,0.0,8266.7,0.0,219.0,45.7,219.0,219.0,1771.687,22286.424,102.655,8511.78,41.5,5211.99,0.05,14.845,0.0,3.3475,344.725
2023-05-07 16:45:00,49.987,5.72,-278.459,328.171,328.171,235.94,54.631,0.0,0.0,0.0,8266.7,5.82,219.0,50.7,224.82,224.82,2111.51,22286.424,124.093,8471.74,40.82,5211.99,0.04,14.815,0.0,3.325,340.35
2023-05-07 16:30:00,50.004,-1.76,-76.057,155.732,155.732,93.701,62.031,0.0,0.0,0.0,8266.7,0.0,163.64,50.7,163.64,163.64,2427.847,22286.424,144.892,8480.98,48.8,5211.99,0.05,14.9575,0.0,3.1525,338.125
